"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DPH6",6.91509807138016e-27,0.278410964600434,0.542,0.397,1.13974646412488e-22,"7","DPH6"
"MAN2A12",1.19683055794926e-26,0.273503952630975,0.856,0.739,1.97261612561197e-22,"7","MAN2A1"
"PAG11",1.52526415493623e-26,0.365434413235872,0.773,0.67,2.51394038016589e-22,"7","PAG1"
"PTPN41",1.80978173740792e-26,0.273504748999599,0.503,0.358,2.98288225959573e-22,"7","PTPN4"
"PITPNB",2.05344243777056e-26,0.264937371818851,0.691,0.54,3.38448382593343e-22,"7","PITPNB"
"GBE1",4.72635776068939e-26,0.309131006620565,0.427,0.296,7.78998286116825e-22,"7","GBE1"
"FBXL17",1.01399081099546e-25,0.331650599198774,0.709,0.577,1.67125965468271e-21,"7","FBXL17"
"ACTG1",1.27546741848434e-25,0.258636210439952,0.952,0.887,2.10222539914589e-21,"7","ACTG1"
"CRY11",2.25681433065084e-25,0.341602692658184,0.496,0.365,3.71968137977871e-21,"7","CRY1"
"ATF1",6.51108913264476e-25,0.274052131922621,0.585,0.439,1.07315771084251e-20,"7","ATF1"
"DUT",9.48610650390863e-25,0.307122444390136,0.31,0.199,1.56350007397422e-20,"7","DUT"
