"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DNAJC19",6.02857335414698e-176,-1.39250473168234,0.024,0.521,8.66185419523838e-172
"EIF3E",6.95641439514529e-176,-1.33701197588441,0.042,0.552,9.99497620294475e-172
"CSNK1G1",8.8961152639642e-176,-0.960721723442883,0.14,0.728,1.27819384112638e-171
"IKZF1",1.11670510404374e-175,-1.45041609781253,0.024,0.522,1.60448189349005e-171
"CD74",1.48781357379944e-175,-1.99917573964626,0.039,0.533,2.13769054283504e-171
"NIFK",2.41165947390498e-175,-1.42843671431268,0.018,0.509,3.46507233210667e-171
"ENSCAFG00000006580",1.14094642585672e-174,-1.28063214565606,0.04,0.549,1.63931182467094e-170
"RPS23",2.66567411837221e-174,-1.01217962473425,0.818,0.935,3.83004057327719e-170
"APBB1IP",3.53228433086206e-174,-1.51557108744989,0.017,0.505,5.07518612658261e-170
"STK17B",5.55874299607778e-173,-1.73609150731511,0.019,0.507,7.98680193676455e-169
"PSIP1",6.48522110699685e-173,-1.1768419769869,0.084,0.618,9.31796568653307e-169
"RPL26",2.12066728484103e-172,-1.15089074889583,0.146,0.704,3.04697475485959e-168
"PPIG",3.1613170103e-172,-1.47017969680714,0.023,0.513,4.54218028039904e-168
"PSMB1",3.17537068487654e-172,-0.90194735145137,0.105,0.657,4.56237260003061e-168
"ARID4B",3.39163034373043e-172,-1.52913587983729,0.033,0.527,4.87309447787188e-168
"ENSCAFG00000006821",2.218766720722e-171,-1.11259001525075,0.078,0.605,3.18792402433337e-167
"CHCHD2",2.29154851920768e-171,-0.803510152957568,0.151,0.742,3.2924969123976e-167
"ENSCAFG00000047363",9.29790308199211e-171,-1.00481943795105,0.065,0.586,1.33592271482063e-166
"PSME2",3.17697865783537e-170,-1.46142965943235,0.028,0.516,4.56468293557786e-166
"SEMA4D",6.0679472058498e-170,-1.55719650559189,0.025,0.513,8.718426545365e-166
"ENSCAFG00000004703",7.42761225918155e-170,-0.843442052279967,0.089,0.63,1.06719932939921e-165
"ENSCAFG00000014648",2.50996061577314e-169,-1.14810881332483,0.048,0.553,3.60631141274284e-165
"PABPC1",5.57330266739976e-169,-1.01425568673847,0.091,0.616,8.00772127251998e-165
"BPTF",1.6157696783694e-168,-1.4532521529081,0.029,0.514,2.32153787388115e-164
"NAP1L1",1.72200083403298e-168,2.18190672059101,0.727,0.656,2.47417079833858e-164
"RGS10",2.16338137734547e-168,2.30222260469016,0.601,0.35,3.10834636296997e-164
"RPS8",5.54844266863453e-168,-0.797243093249739,0.794,0.965,7.97200242629409e-164
"PLAC8",2.57682904180387e-167,-1.99472352393604,0.036,0.519,3.7023879672638e-163
"SCAF11",3.23787007223902e-167,-1.24174754298574,0.04,0.533,4.65217171979302e-163
"EIF3H",3.39559249316655e-167,-1.17706879297077,0.044,0.538,4.87878729418169e-163
"CAPG",1.12912183841222e-166,-1.49655385503247,0.162,0.697,1.62232225743068e-162
"PNN",1.41100858984606e-166,-1.35070244698408,0.025,0.508,2.02733714189082e-162
"AKAP13",6.39777168358199e-166,-1.55458032199531,0.041,0.528,9.1923183549706e-162
"EPB41",6.72837221763424e-166,-1.05790981284909,0.107,0.639,9.66732520229688e-162
"CD37",9.67418114282281e-166,-1.17086321141148,0.091,0.618,1.38998634660078e-161
"EIF3D",6.96392447030384e-165,-1.13138847878239,0.05,0.545,1.00057666789326e-160
"HNRNPA3",2.20610920435434e-164,-1.37725306625195,0.024,0.501,3.16973770481631e-160
"NDUFB10",4.54661837996474e-164,-1.28741287286011,0.028,0.507,6.53258128833334e-160
"ENSCAFG00000006102",6.09442068714107e-164,-0.882394264186539,0.612,0.928,8.75646364328428e-160
"ROMO1.1",4.08701999160569e-163,-1.05138232086772,0.06,0.568,5.87223032393906e-159
"NANS",5.19775836421096e-163,-1.05998544163484,0.066,0.577,7.4681392176983e-159
"MARK3",6.91413463544236e-163,-0.748081659600827,0.143,0.698,9.93422864420358e-159
"HMGB2",8.11685739371802e-163,-1.06889385067065,0.162,0.728,1.16623007032941e-158
"ENSCAFG00000031952",3.60638570629804e-162,-0.89220758204584,0.715,0.922,5.18165498280902e-158
"CD48",8.09613981607227e-162,-1.23217550327814,0.079,0.585,1.16325336877326e-157
"SAMD9L",1.6982595087194e-161,-1.68885480156834,0.034,0.504,2.44005926212803e-157
"EIF2S3",5.1434499704478e-161,-1.29221377581658,0.031,0.505,7.3901089175394e-157
"UQCRB",3.21173245998224e-160,-0.994689690154127,0.051,0.543,4.61461719850248e-156
"PABPN1",9.78578087575801e-160,-1.16134790072372,0.04,0.519,1.40602099622891e-155
"MT-ND5",1.36268413319873e-159,-0.877484885560306,0.102,0.635,1.95790456257993e-155
"ST13",1.91315618736132e-159,-1.19596737831033,0.035,0.509,2.74882281000074e-155
"EMB",9.00933337939864e-159,-2.08176112329236,0.078,0.564,1.294461019952e-154
"TAX1BP1",2.50384556421469e-158,-0.758430396394842,0.137,0.668,3.59752530666366e-154
"LSM6",3.31981662716241e-158,-1.01872087454169,0.06,0.555,4.76991252990696e-154
"ENSCAFG00000005978",4.11614585476441e-158,-1.0949330731239,0.06,0.555,5.9140783641255e-154
"RPL27A",1.52919396737121e-157,-1.02454344445187,0.269,0.834,2.19714589231896e-153
"PPP1R12A",6.25958994520869e-157,-1.05472119810992,0.053,0.541,8.99377883327584e-153
"SSR2",1.97102653416382e-156,-0.888472257849869,0.102,0.627,2.83197092428658e-152
"ENSCAFG00000028908",2.6507525849892e-156,-1.22895188561692,0.039,0.509,3.80860131411249e-152
"PM20D2",4.46478194061154e-156,-1.28612752280878,0.049,0.524,6.41499869227066e-152
"ATF7IP",2.50902851401773e-154,-1.28880950255185,0.037,0.504,3.60497216894068e-150
"OGA",1.62018635201187e-153,-1.15148944840742,0.044,0.515,2.32788375057066e-149
"MRPL20",1.80513331477172e-153,-0.986668293018384,0.051,0.523,2.59361554666401e-149
"SNRPD2",8.26212064696737e-153,-0.919857013098067,0.25,0.837,1.18710149455627e-148
"SF3B2",1.31771532869729e-152,-1.10815815242614,0.041,0.508,1.89329338427226e-148
"ENSCAFG00000049108",6.83704521978722e-152,-0.699490625186069,0.13,0.674,9.82346657179028e-148
"ENSCAFG00000015122",4.91762783288549e-151,-0.817576952546102,0.65,0.928,7.06564767028987e-147
"NDUFB2",1.45851714469967e-150,-0.824513176894758,0.132,0.652,2.09559743350448e-146
"STK4",3.18671053409099e-150,-0.942548245425967,0.073,0.558,4.57866569538193e-146
"NDUFA12",1.76496484955716e-148,-0.987987536858872,0.04,0.5,2.53590149584373e-144
"ENSCAFG00000002215",5.00395140789374e-148,-0.946018767672355,0.256,0.828,7.18967738286173e-144
"TMEM147",9.26372103120332e-147,-0.918945300024869,0.06,0.532,1.33101143776329e-142
"ENSCAFG00000049156",1.71068184475388e-146,-0.857631526874824,0.062,0.537,2.45790767454237e-142
"ATP5F1B",5.8608586642634e-146,-0.883037900217675,0.077,0.554,8.42088172881365e-142
"RPL35",8.7065648253789e-146,-0.886749522459045,0.641,0.917,1.25095923411044e-141
"RBX1",1.34155734963746e-145,-0.908938884369755,0.087,0.558,1.9275495999591e-141
"UQCRQ",1.45791811879551e-145,-0.98715099749768,0.059,0.519,2.09473675308539e-141
"CSTB",2.25845281458266e-145,-1.73732053829449,0.104,0.584,3.24494500399236e-141
"C20H19orf53",4.09091626236941e-145,-0.980942645963638,0.044,0.503,5.87782848577236e-141
"SNX3",1.71197940525074e-144,-1.19322172730185,0.154,0.653,2.45977200946426e-140
"ENSCAFG00000030220",8.62979968065424e-143,-0.94332363533148,0.052,0.511,1.2399296181164e-138
"COX17",1.33554303985286e-142,-1.09653509708947,0.077,0.547,1.91890823966059e-138
"GNAS",2.76303811646644e-142,1.48087241188157,0.781,0.832,3.96993316573899e-138
"RPL34",2.10635483044855e-141,-0.861021619118108,0.61,0.929,3.02641062038848e-137
"ENSCAFG00000043646",1.81979443004672e-140,-0.972799971764816,0.05,0.505,2.61468063709113e-136
"NDFIP1",1.01643127302793e-139,-0.743114954365311,0.09,0.572,1.46040845308654e-135
"EIF3F",2.49304839187923e-139,-0.704394304423935,0.188,0.744,3.58201192945207e-135
"RPL27",3.06717007490635e-139,-0.794214580204429,0.644,0.934,4.40690996362544e-135
"TMSB10",5.43402714969888e-139,-1.12422764815625,0.654,0.902,7.80761020868736e-135
"CSK",9.06657151113252e-139,-0.975141820812666,0.053,0.503,1.30268499471952e-134
"PFN1",3.14220035886695e-138,1.20059135510547,0.835,0.931,4.51471347562003e-134
"RPS11",4.39621700223105e-138,-0.921523152789787,0.903,0.93,6.31648458880557e-134
"ARHGDIA",1.13679791869785e-137,-0.797038624085999,0.081,0.553,1.63335124958507e-133
"LAMTOR2",9.41042165817811e-137,-0.97324085783706,0.061,0.513,1.35208938384703e-132
"LGALS1",1.41552688090947e-136,1.5160987012031,0.773,0.676,2.03382902249073e-132
"SEC61B",3.26221092120585e-136,-0.957261234966689,0.071,0.529,4.68714465158857e-132
"CD79A",8.20094478170886e-136,-0.86428251681398,0.922,0.932,1.17831174623593e-131
"CLTA",1.08999361729322e-134,-0.936473117870337,0.159,0.673,1.56610282932689e-130
