"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADAM32",1.19990957833819e-27,0.541920035260631,0.358,0.175,1.977690967017e-23,"6","ADAM32"
"CAMK1D1",1.42116741034722e-27,0.620151939659764,0.626,0.44,2.34236812573428e-23,"6","CAMK1D"
"CABLES11",2.0563635617751e-26,0.627642959311098,0.346,0.173,3.38929842251772e-22,"6","CABLES1"
"HDAC92",1.64664816698684e-24,0.69752442528885,0.702,0.545,2.71400550882771e-20,"6","HDAC9"
"VPS13B",7.59764428830134e-24,0.411211071202823,0.934,0.87,1.25224373159783e-19,"6","VPS13B"
"HIVEP31",7.82401807105799e-22,0.628717306123745,0.285,0.143,1.28955465847178e-17,"6","HIVEP3"
"NIPAL2",9.85698323696547e-22,0.523075896682782,0.433,0.254,1.62462797711665e-17,"6","NIPAL2"
"DDX51",2.23056736312399e-21,0.328088632576938,0.983,0.948,3.67642112790096e-17,"6","DDX5"
"MYLIP",2.70704650978979e-21,0.53111296499143,0.49,0.318,4.46175405743554e-17,"6","MYLIP"
"ARHGAP15",3.44036712564574e-21,0.275169519751904,0.99,0.984,5.67041309648931e-17,"6","ARHGAP15"
"MBNL1",3.87880597230585e-21,0.291777823780381,0.995,0.986,6.3930480035545e-17,"6","MBNL1"
"ZNF6081",6.00581254107213e-21,0.460198543052288,0.322,0.168,9.89878023019509e-17,"6","ZNF608"
"EIF1",1.28648858912705e-20,0.309420135543892,0.993,0.976,2.1203904925992e-16,"6","EIF1"
"SPATS2L1",3.82923140632502e-20,0.526867237965708,0.495,0.322,6.3113392039049e-16,"6","SPATS2L"
"SELENOW1",1.83374751965491e-18,0.39306798656269,0.863,0.746,3.02238266189522e-14,"6","SELENOW"
"TCF41",3.34191025887818e-18,0.433261566810841,0.825,0.705,5.50813648868302e-14,"6","TCF4"
"RABGAP1L1",6.47548960474056e-17,0.30571084435706,0.988,0.958,1.06729019665334e-12,"6","RABGAP1L"
"DNASE2",8.5983732985615e-17,0.418124846797286,0.51,0.363,1.41718388706891e-12,"6","DNASE2"
"MTSS11",1.17691570300107e-16,0.425174305143457,0.701,0.55,1.93979246168636e-12,"6","MTSS1"
"TBC1D51",1.32009151602483e-16,0.362179680330069,0.943,0.872,2.17577483671213e-12,"6","TBC1D5"
"TGFBR2",1.50900244438117e-16,0.430481113972558,0.635,0.488,2.48713782882904e-12,"6","TGFBR2"
"CAMK2D1",2.42774494793426e-16,0.455311643183459,0.588,0.44,4.00140922318525e-12,"6","CAMK2D"
"SMC6",3.46488805019231e-16,0.387131469970329,0.86,0.784,5.71082848432697e-12,"6","SMC6"
"TMEM1311",3.80716402411579e-16,0.329562188839721,0.952,0.911,6.27496774454764e-12,"6","TMEM131"
"GALK11",5.39281213852812e-16,0.265790199662283,0.991,0.981,8.88843296672204e-12,"6","GALK1"
"JAK1",6.98479200857759e-16,0.28128630729197,0.95,0.916,1.15123341885376e-11,"6","JAK1"
"DLA88",1.04490791004357e-15,0.299915250006536,0.943,0.879,1.72221721733381e-11,"6","DLA88"
"ST3GAL61",1.92021384740809e-15,0.437073222879849,0.303,0.182,3.16489646329802e-11,"6","ST3GAL6"
"CD442",2.83967448530504e-15,0.354853215926669,0.467,0.318,4.68035148667977e-11,"6","CD44"
"SIK2",4.65851243255889e-15,0.444300581241896,0.341,0.208,7.67816019134356e-11,"6","SIK2"
"ARHGAP242",6.44566987387956e-15,0.258063066739417,0.997,0.912,1.06237530861283e-10,"6","ARHGAP24"
"ADAM91",7.2653578876164e-15,0.444913786768952,0.782,0.689,1.19747628703693e-10,"6","ADAM9"
"APBB1IP",2.06997594333079e-14,0.301712767977526,0.68,0.533,3.41173434979781e-10,"6","APBB1IP"
"PIAS1",3.72798372325879e-14,0.393510831509397,0.77,0.685,6.14446277267513e-10,"6","PIAS1"
"BZW11",4.89417012635482e-14,0.401553285053368,0.702,0.61,8.06657120225802e-10,"6","BZW1"
"OSBPL81",4.98971719117636e-14,0.394222760974118,0.836,0.731,8.22405187449688e-10,"6","OSBPL8"
"JARID21",6.2404177934262e-14,0.367481402202579,0.837,0.756,1.02854566071251e-09,"6","JARID2"
"FCRLA1",6.74768869834584e-14,0.378506158189257,0.529,0.401,1.11215405126136e-09,"6","FCRLA"
"ANKRD12",6.83831158333249e-14,0.338505117601715,0.853,0.768,1.12709051516486e-09,"6","ANKRD12"
"EMB",7.92485454810677e-14,0.315817692217136,0.318,0.19,1.30617452661896e-09,"6","EMB"
"IL13RA1",8.85984462371817e-14,0.324516913073802,0.304,0.176,1.46027959088123e-09,"6","IL13RA1"
"POU2F21",1.44253999037461e-13,0.315023586673584,0.851,0.745,2.37759441213542e-09,"6","POU2F2"
"ATP2B1",2.12532951172905e-13,0.360995651081655,0.49,0.357,3.50296810123182e-09,"6","ATP2B1"
"CTBP2",3.63030089319526e-13,0.395143309035834,0.346,0.219,5.98346193216443e-09,"6","CTBP2"
"DPY19L11",1.43380546468611e-12,0.419176185876177,0.362,0.244,2.36319816689564e-08,"6","DPY19L1"
"LCP11",1.79149046249769e-12,0.278443767933889,0.856,0.784,2.95273458028869e-08,"6","LCP1"
"GOLIM4",1.81143170398424e-12,0.376791618265232,0.294,0.183,2.98560173450683e-08,"6","GOLIM4"
"STAG1",1.91935654510206e-12,0.313354873578348,0.768,0.656,3.16348345763722e-08,"6","STAG1"
"FHIT1",2.78343634397221e-12,0.534942846110189,0.811,0.712,4.587659782135e-08,"6","FHIT"
"RNF38",3.49730450214721e-12,0.358773638943399,0.763,0.665,5.76425728043903e-08,"6","RNF38"
"GSAP1",5.23432657476197e-12,0.342438941042286,0.675,0.535,8.62721706052268e-08,"6","GSAP"
"ALDH3A2",5.82989697912888e-12,0.371432570123252,0.351,0.232,9.60883620100023e-08,"6","ALDH3A2"
"OGT",8.27154987518382e-12,0.265342146263736,0.862,0.796,1.3633168504278e-07,"6","OGT"
"LYN1",8.38128782948369e-12,0.25723919345589,0.901,0.851,1.3814038600555e-07,"6","LYN"
"TGFB11",2.17726340783542e-11,0.318730161524522,0.37,0.253,3.58856554879434e-07,"6","TGFB1"
"SMAP11",3.00129732278333e-11,0.291093610292398,0.945,0.915,4.94673824741148e-07,"6","SMAP1"
"UGDH",3.41913894541447e-11,0.317164468572782,0.817,0.755,5.63542480983212e-07,"6","UGDH"
"PLCG21",3.63495851801895e-11,0.298217117123272,0.754,0.657,5.99113862939884e-07,"6","PLCG2"
"BAG2",6.69840934097407e-11,0.332857038803888,0.351,0.231,1.10403182757935e-06,"6","BAG2"
"RASA3",1.54448659418402e-10,0.28880683198197,0.81,0.711,2.54562280453411e-06,"6","RASA3"
